23	vv3mk7dxxjvu	17	7	67136
28	vv3mk7dxxjvu	115	7	87591
30	vv3mk7dxxjvu	127	7	84272
32	vv3mk7dxxjvu	130	1	84903
36	vv3mk7dxxjvu	114	7	121055
42	vv3mk7dxxjvu	116	7	51895
49	bb3qxybfdk4c	104	1	33577
51	bb3qxybfdk4c	109	1	25180
56	bb3qxybfdk4c	20	1	48692
57	cmdrtottwf5q	111	1	149887
58	vv3mk7dxxjvu	126	7	44808
63	vv3mk7dxxjvu	101	1	45928
64	bb3qxybfdk4c	125	7	67323
68	vv3mk7dxxjvu	113	7	60304
69	bb3qxybfdk4c	108	1	50989
72	cmdrtottwf5q	27	1	161463
73	bb3qxybfdk4c	106	7	50543
78	vv3mk7dxxjvu	20	7	92247
81	bb3qxybfdk4c	126	7	26190
90	i6wla5xav2nu	121	1	10809
91	bb3qxybfdk4c	18	7	38918
92	i6wla5xav2nu	2	1	11643
93	vv3mk7dxxjvu	120	7	58415
94	i6wla5xav2nu	14	1	23685
96	bb3qxybfdk4c	110	7	42136
98	i6wla5xav2nu	4	7	30794
99	i6wla5xav2nu	105	1	7677
100	cmdrtottwf5q	125	1	216815
101	bb3qxybfdk4c	27	7	37396
102	i6wla5xav2nu	103	7	22352
103	bb3qxybfdk4c	111	1	27430
104	aorx7vq7cl4t	10	1	48533
106	i6wla5xav2nu	123	1	25165
107	aorx7vq7cl4t	112	7	32632
108	0qor3e63qwxi	13	7	49912
109	i6wla5xav2nu	15	1	47398
110	aorx7vq7cl4t	105	1	27728
111	bb3qxybfdk4c	14	7	65570
112	i6wla5xav2nu	107	7	28197
113	cmdrtottwf5q	25	1	123135
114	aorx7vq7cl4t	9	1	33957
115	0qor3e63qwxi	107	7	48054
116	bb3qxybfdk4c	103	7	36620
118	aorx7vq7cl4t	26	1	27556
119	bb3qxybfdk4c	16	1	33640
121	0qor3e63qwxi	112	7	41768
122	i6wla5xav2nu	128	7	27905
123	aorx7vq7cl4t	117	7	40227
124	cmdrtottwf5q	101	7	85104
126	aorx7vq7cl4t	118	1	30164
127	i6wla5xav2nu	18	1	28370
128	0qor3e63qwxi	12	1	84486
129	aorx7vq7cl4t	124	1	54028
130	cmdrtottwf5q	114	7	79824
137	0qor3e63qwxi	9	1	61672
139	i6wla5xav2nu	102	1	39270
142	35f6fojw9xpk	8	7	42322
144	i6wla5xav2nu	118	1	31578
145	cmdrtottwf5q	112	1	90416
